Depth,ROP5,GammaRay,SWOB,TQA,RPM,TRPM_RT,CRPM_RT,STICK_RT,SPPA,TFLO,AnTemp,AnPres,SHKRSK_RT,ECD
1076.85839999999,10.988,121.0,3.944,12.222,69.311,1953.125,52.0,102.0,75.721,3100.995,25.0,127.898,0.0,1.214
1077.01079999999,10.857,110.25,4.099,9.779,69.919,1953.125,62.0,84.0,75.779,3100.995,25.0,127.967,0.0,1.215
1077.16319999999,10.099,107.641,3.681,11.558,69.349,1953.125,73.0,177.0,75.362,3100.995,25.0,127.967,0.0,1.214
1077.31559999999,9.592,102.516,3.599,10.84,69.064,1953.125,67.0,78.0,75.541,3100.995,25.0,128.036,0.0,1.215
1077.4679999999898,9.618,112.891,3.938,8.762,69.113,1953.125,77.0,75.0,75.524,3100.995,25.0,128.036,0.0,1.215
1077.7727999999895,8.996,123.766,4.655,8.989,69.429,1953.125,61.0,114.0,75.777,3100.995,25.0,128.036,0.0,1.214
1077.9251999999897,7.362,115.563,4.07,7.245,69.9,1953.125,65.0,192.0,75.593,3100.995,25.0,128.105,0.0,1.215
1078.2299999999896,5.779,118.266,2.675,6.757,69.427,1953.125,53.0,144.0,75.403,3100.995,25.0,128.174,0.0,1.215
1078.3823999999895,5.551,118.266,2.781,8.44,68.857,1953.125,72.0,135.0,75.466,3100.995,25.0,128.243,0.0,1.216
1078.5347999999894,4.919,112.891,3.599,6.665,69.521,1984.375,82.0,120.0,76.773,3131.58,25.0,128.311,0.0,1.216
1078.6871999999894,4.905,123.766,2.638,9.784,69.564,2031.25,63.0,159.0,77.377,3145.295,25.0,128.243,0.0,1.215
1078.839599999989,4.842,141.016,2.971,9.279,69.296,1992.188,80.0,141.0,77.534,3145.295,25.0,128.243,0.0,1.215
1078.9919999999893,4.721,147.016,2.425,9.572,69.348,2011.719,52.0,231.0,78.129,3145.295,26.0,128.243,0.0,1.215
1079.1443999999892,4.607,156.25,2.28,9.734,69.929,2031.25,70.0,168.0,77.946,3145.295,25.0,128.38,0.0,1.216
1079.2967999999892,4.66,159.391,2.49,9.889,69.649,2011.719,56.0,126.0,77.586,3145.295,25.0,128.38,0.0,1.216
1079.449199999989,5.131,156.25,2.365,10.339,68.974,1992.188,79.0,168.0,77.657,3145.295,26.0,128.38,0.0,1.216
1079.601599999989,5.36,144.0,-0.045,7.689,69.42,2031.25,63.0,339.0,77.585,3145.295,26.0,128.587,0.0,1.218
1079.906399999989,5.559,159.391,-0.451,3.897,69.608,1992.188,70.0,252.0,78.08,3145.295,26.0,128.794,0.0,1.219
1080.0587999999889,6.271,165.766,-0.316,3.898,69.579,1992.188,64.0,87.0,77.916,3145.295,26.0,128.863,0.0,1.22
1080.2111999999888,6.423,147.016,-0.19,4.093,69.312,1992.188,68.0,123.0,77.476,3145.295,26.0,128.932,0.0,1.22
1080.3635999999888,6.655,147.016,-0.153,4.587,69.508,1992.188,71.0,147.0,77.5,3145.295,26.0,129.001,0.0,1.221
1080.5159999999887,6.783,141.016,-0.309,4.964,69.226,2031.25,59.0,84.0,77.714,3145.295,26.0,129.001,0.0,1.22
1080.6683999999889,6.962,135.141,-0.319,4.294,69.0,1992.188,66.0,123.0,77.512,3145.295,26.0,129.001,0.0,1.22
1080.8207999999886,7.162,150.063,-0.169,4.484,69.764,1992.188,67.0,75.0,77.762,3145.295,26.0,129.07,0.0,1.221
1081.1255999999885,7.683,144.0,0.353,3.943,69.049,1992.188,60.0,42.0,77.514,3145.295,26.0,129.208,0.0,1.222
1084.1735999999871,16.747,132.25,2.153,5.622,59.701,2421.875,58.0,36.0,98.243,3455.394,26.0,130.104,0.0,1.227
1084.3259999999873,20.432,132.25,2.02,5.878,59.011,2421.875,55.0,42.0,98.445,3455.394,26.0,130.173,0.0,1.227
1084.4783999999872,18.246,135.141,1.813,7.19,59.755,2421.875,58.0,12.0,98.495,3455.394,26.0,130.173,0.0,1.227
1084.7831999999871,17.117,138.063,1.973,7.457,59.79,2421.875,55.0,294.0,98.472,3455.394,26.0,130.242,0.0,1.227
1085.240399999987,15.501,144.0,1.713,7.512,59.786,2421.875,47.0,21.0,99.793,3455.394,26.0,130.311,0.0,1.227
1085.6975999999868,14.759,141.016,1.742,7.341,59.074,2421.875,60.0,42.0,100.121,3455.394,26.0,130.38,0.0,1.228
1086.1547999999866,19.631,138.063,0.977,6.635,79.364,2500.0,71.0,381.0,103.69,3567.994,26.0,130.518,0.0,1.228
1091.0315999999848,16.694,118.266,5.612,11.018,79.819,2617.188,70.0,204.0,110.161,3701.794,26.0,131.828,0.0,1.235
1091.336399999985,9.911,123.766,0.652,12.008,79.74,2617.188,74.0,183.0,110.661,3701.794,26.0,131.828,0.0,1.235
1109.9291999999778,17.006,147.016,0.001,5.004,96.498,2382.813,118.0,9.0,99.711,3435.971,29.0,132.793,0.0,1.223
1110.0815999999777,15.435,147.016,0.171,5.988,119.755,2500.0,118.0,18.0,104.498,3567.994,29.0,132.793,0.0,1.223
1110.2339999999776,14.124,150.063,0.123,5.705,119.486,2500.0,118.0,6.0,104.023,3567.994,29.0,132.793,0.0,1.223
1110.3863999999776,13.021,159.391,0.113,5.564,119.773,2500.0,118.0,6.0,104.187,3567.994,29.0,132.793,0.0,1.222
1110.5387999999775,12.077,147.016,0.18,6.686,119.382,2500.0,118.0,6.0,104.067,3567.994,30.0,132.862,0.0,1.223
1110.6911999999777,11.262,150.063,0.251,4.607,119.505,2500.0,119.0,6.0,104.202,3567.994,29.0,132.862,0.0,1.223
1110.8435999999774,10.55,147.016,0.349,6.613,119.636,2500.0,118.0,6.0,104.218,3567.994,29.0,133.0,0.0,1.224
1110.9959999999774,9.924,147.016,0.399,4.75,119.761,2500.0,118.0,6.0,104.32,3567.994,30.0,132.931,0.0,1.223
1111.1483999999773,9.366,150.063,0.361,5.873,119.6,2539.063,118.0,6.0,104.397,3567.994,30.0,132.931,0.0,1.223
1111.3007999999772,8.867,159.391,0.315,6.06,119.482,2500.0,118.0,6.0,104.022,3567.994,30.0,132.931,0.0,1.223
1111.4531999999772,10.006,156.25,0.295,4.531,119.264,2500.0,118.0,9.0,104.259,3567.994,30.0,133.0,0.0,1.223
1111.6055999999771,10.005,150.063,0.223,6.762,119.505,2500.0,118.0,12.0,104.197,3567.994,30.0,133.0,0.0,1.223
1111.757999999977,9.74,126.563,4.278,5.46,119.429,2500.0,118.0,12.0,104.142,3567.994,30.0,133.069,0.0,1.223
1111.910399999977,6.81,129.391,3.976,8.336,119.51,2500.0,118.0,3.0,104.071,3567.994,30.0,133.0,0.0,1.223
1112.062799999977,6.132,147.016,0.319,8.543,119.521,2500.0,118.0,3.0,103.735,3567.994,30.0,133.069,0.0,1.223
1112.215199999977,6.132,144.0,0.15,5.135,119.527,2500.0,118.0,12.0,103.883,3567.994,30.0,133.207,0.0,1.224
1112.3675999999768,6.132,150.063,2.229,5.178,119.505,2500.0,118.0,54.0,103.752,3567.994,30.0,133.138,0.0,1.223
1112.5199999999768,6.131,150.063,2.242,6.089,119.445,2500.0,120.0,9.0,103.777,3567.994,30.0,133.138,0.0,1.223
1112.6723999999767,6.131,153.141,2.378,5.286,119.564,2500.0,118.0,15.0,103.647,3567.994,30.0,133.138,0.0,1.223
1112.824799999977,6.131,165.766,2.245,6.672,119.645,2500.0,118.0,12.0,103.702,3567.994,30.0,133.207,0.0,1.224
1112.9771999999766,6.131,144.0,2.312,4.147,119.862,2500.0,118.0,6.0,103.753,3567.994,30.0,133.207,0.0,1.223
1113.1295999999766,6.132,159.391,2.307,5.548,119.745,2500.0,118.0,3.0,104.187,3567.994,30.0,133.276,0.0,1.224
1113.2819999999765,6.236,159.391,2.318,5.466,119.239,2500.0,118.0,3.0,104.505,3567.994,30.0,133.276,0.0,1.224
1113.4343999999764,8.607,159.391,2.284,4.952,119.491,2500.0,118.0,30.0,104.449,3567.994,30.0,133.276,0.0,1.223
1113.5867999999764,10.007,150.063,2.307,5.948,119.745,2500.0,118.0,9.0,104.339,3567.994,30.0,133.345,0.0,1.224
1113.7391999999763,10.008,156.25,2.164,4.476,120.0,2500.0,118.0,12.0,104.206,3567.994,30.0,133.345,0.0,1.224
1113.8915999999765,10.006,153.141,2.031,6.054,119.545,2500.0,118.0,9.0,104.805,3567.994,30.0,133.345,0.0,1.224
1114.0439999999762,10.008,156.25,2.322,4.852,119.691,2500.0,118.0,6.0,104.303,3567.994,30.0,133.345,0.0,1.223
1114.1963999999762,10.008,169.0,2.086,5.005,119.743,2500.0,118.0,6.0,103.585,3567.994,30.0,133.414,0.0,1.224
1114.348799999976,10.007,156.25,2.163,6.106,120.0,2500.0,118.0,6.0,103.623,3567.994,30.0,133.483,0.0,1.224
1114.501199999976,10.009,150.063,2.095,4.341,120.0,2500.0,118.0,3.0,103.806,3567.994,30.0,133.483,0.0,1.224
1114.653599999976,10.007,169.0,2.133,6.287,119.798,2500.0,118.0,3.0,103.941,3567.994,30.0,133.483,0.0,1.224
1114.805999999976,10.008,156.25,1.998,4.585,119.873,2500.0,118.0,3.0,103.997,3567.994,30.0,133.483,0.0,1.224
1114.958399999976,10.007,159.391,2.165,5.702,119.266,2500.0,118.0,3.0,103.887,3567.994,30.0,133.483,0.0,1.224
1115.1107999999758,10.006,156.25,2.145,5.52,119.664,2695.313,118.0,3.0,113.731,3765.33,30.0,133.552,0.0,1.224
1115.2631999999758,10.005,153.141,2.126,4.654,119.345,2734.375,117.0,3.0,114.995,3789.494,30.0,133.552,0.0,1.224
1115.4155999999757,10.006,165.766,2.126,6.098,119.5,2734.375,118.0,6.0,115.3,3789.494,30.0,133.552,0.0,1.224
1115.5679999999757,10.007,153.141,2.21,4.335,119.486,2734.375,119.0,6.0,115.228,3789.494,30.0,133.62,0.0,1.224
1115.7203999999756,10.007,153.141,2.175,6.069,119.227,2714.844,119.0,6.0,115.251,3789.494,30.0,133.689,0.0,1.225
1115.8727999999755,10.008,165.766,2.132,4.906,119.936,2929.688,118.0,6.0,116.086,3803.719,30.0,133.689,0.0,1.225
1116.0251999999757,10.007,150.063,2.246,5.092,119.482,2929.688,118.0,6.0,127.348,4010.993,30.0,133.689,0.0,1.224
1116.1775999999754,10.006,165.766,2.141,6.058,119.345,2929.688,117.0,6.0,126.92,4010.993,30.0,133.758,0.0,1.225
1116.3299999999754,10.005,159.391,2.193,4.006,119.752,2929.688,119.0,6.0,126.893,4010.993,30.0,133.689,0.0,1.224
1116.482399999975,10.005,153.141,2.191,6.546,119.509,2929.688,118.0,6.0,126.777,4010.993,31.0,133.758,0.0,1.225
1116.6347999999753,10.008,153.141,2.316,4.507,119.509,2929.688,118.0,6.0,127.566,4038.177,31.0,133.758,0.0,1.224
1116.7871999999752,10.007,147.016,2.186,6.426,119.349,3125.0,118.0,6.0,138.644,4224.973,31.0,133.758,0.0,1.224
1116.9395999999751,10.008,153.141,2.27,5.734,119.673,3125.0,119.0,9.0,139.483,4232.493,31.0,133.758,0.0,1.224
1117.091999999975,10.007,159.391,2.551,5.048,119.743,3281.25,118.0,9.0,145.531,4372.099,31.0,133.827,0.0,1.225
1117.244399999975,6.791,147.016,1.35,4.269,119.522,3292.411,118.0,3.0,149.397,4406.218,31.0,133.827,0.0,1.224
1117.396799999975,6.793,150.063,1.385,5.898,119.248,3125.0,118.0,3.0,140.615,4205.243,31.0,133.896,0.0,1.225
1117.549199999975,6.794,159.391,1.171,4.249,119.275,3125.0,118.0,6.0,140.799,4205.243,31.0,133.896,0.0,1.225
1117.7015999999749,6.796,138.063,1.362,6.219,119.275,3125.0,118.0,6.0,140.559,4205.243,31.0,133.896,0.0,1.224
1118.0063999999747,6.8,135.141,1.287,5.735,119.899,3125.0,118.0,9.0,140.385,4205.243,31.0,133.965,0.0,1.225
1118.1587999999747,6.8,141.016,1.357,5.99,119.495,3242.188,118.0,9.0,141.494,4205.243,31.0,133.965,0.0,1.225
1118.3111999999746,6.802,141.016,1.437,4.462,119.518,3320.313,119.0,6.0,154.045,4428.172,31.0,133.965,0.0,1.224
1118.4635999999746,6.804,153.141,1.442,6.345,119.486,3320.313,118.0,12.0,155.074,4451.851,31.0,133.965,0.0,1.224
1118.6159999999743,6.804,150.063,1.515,4.401,119.752,3359.375,119.0,12.0,154.706,4472.242,31.0,134.034,0.0,1.225
1118.7683999999745,10.041,150.063,1.396,5.589,119.752,3359.375,118.0,12.0,155.215,4472.242,31.0,134.103,0.0,1.225
1118.9207999999744,10.04,150.063,1.402,5.81,119.518,3359.375,119.0,6.0,154.694,4472.242,31.0,134.103,0.0,1.225
1119.0731999999743,10.041,159.391,1.311,4.675,119.486,3359.375,119.0,9.0,154.927,4472.242,31.0,134.103,0.0,1.225
1119.3779999999742,10.041,153.141,1.422,4.308,118.755,3359.375,118.0,9.0,154.568,4472.242,31.0,134.172,0.0,1.225
1119.5303999999742,10.041,141.016,1.203,6.449,119.275,3359.375,118.0,12.0,154.882,4472.242,31.0,134.172,0.0,1.225
1119.682799999974,10.04,147.016,1.402,5.056,119.477,3359.375,118.0,3.0,154.654,4472.242,31.0,134.31,0.0,1.226
1119.835199999974,10.041,144.0,1.39,5.383,119.284,3359.375,119.0,6.0,154.657,4472.242,31.0,134.241,0.0,1.225
1119.987599999974,10.04,159.391,1.441,6.339,119.445,3359.375,118.0,3.0,154.95,4472.242,31.0,134.31,0.0,1.226
1120.139999999974,10.041,156.25,1.342,4.569,119.541,3359.375,118.0,3.0,154.909,4472.242,31.0,134.241,0.0,1.225
1120.292399999974,10.04,150.063,1.395,6.721,119.514,3359.375,118.0,3.0,154.792,4472.242,31.0,134.31,0.0,1.225
1120.4447999999738,10.041,159.391,1.379,5.09,120.0,3359.375,118.0,3.0,154.763,4472.242,31.0,134.31,0.0,1.225
1120.7495999999735,10.04,165.766,1.331,5.853,119.725,2929.688,118.0,3.0,129.163,3991.913,31.0,134.379,0.0,1.226
1120.9019999999737,10.041,150.063,1.167,4.971,119.0,2968.75,118.0,3.0,128.866,4004.993,31.0,134.379,0.0,1.225
1121.0543999999736,10.04,153.141,1.171,6.485,119.491,2968.75,118.0,3.0,128.819,4004.993,31.0,134.448,0.0,1.226
1121.2067999999736,10.041,159.391,1.25,4.274,119.156,2968.75,118.0,3.0,128.881,4004.993,31.0,134.448,0.0,1.226
1121.3591999999735,10.041,153.141,1.097,6.074,119.514,2968.75,118.0,3.0,128.236,4004.993,31.0,134.517,0.0,1.226
1121.5115999999734,10.041,147.016,1.101,5.28,119.755,2968.75,119.0,3.0,128.319,4004.993,31.0,134.517,0.0,1.226
1121.816399999973,10.041,141.016,1.261,6.333,119.239,2968.75,118.0,3.0,128.548,4004.993,31.0,134.586,0.0,1.226
1121.9687999999733,10.041,150.063,1.204,4.408,119.303,2968.75,118.0,3.0,128.761,4004.993,31.0,134.655,0.0,1.227
1122.1211999999732,10.04,150.063,1.184,6.32,119.764,2968.75,118.0,3.0,128.374,4004.993,31.0,134.655,0.0,1.227
1122.2735999999732,10.041,165.766,1.141,4.977,119.89,2968.75,118.0,3.0,128.606,4004.993,31.0,134.655,0.0,1.226
