Depth,ROP5,GammaRay,SWOB,TQA,RPM,TRPM_RT,CRPM_RT,STICK_RT,SPPA,TFLO,AnTemp,AnPres,SHKRSK_RT,ECD
1050.036,9.636399999999998,12.25,-23.575,16.163,59.644,1967.076,37.0,222.0,67.086,3058.631,25.2,128.3532,0.0,1.2164
1050.1884,8.0564,10.563,-22.057,6.511,59.0,2031.25,52.0,145.2,73.802,3100.995,25.6,128.6702,0.0,1.2182
1050.3408,14.548,8.266,-18.639,11.93,59.32,2031.25,45.0,99.0,73.615,3100.995,25.6,128.6702,0.0,1.2182
1050.4932,1.062,9.0,-16.902,8.528,60.951,2011.719,54.0,321.0,73.745,3100.995,25.8,128.9874,0.0,1.2204000000000002
1050.6455999999998,0.318,9.0,-22.047,8.493,69.566,1953.956,71.0,156.0,74.405,3100.995,25.6,128.67020000000002,0.0,1.2182
1050.7979999999998,0.426,8.266,-24.093,6.977,69.471,1953.125,65.0,159.0,74.753,3100.995,25.6,128.67020000000002,0.0,1.2182
1050.9503999999995,6.948,13.141,-24.038,3.686,69.685,1976.5628000000002,66.0,129.0,74.681,3100.995,25.6,128.6702,0.0,1.2182
1051.1027999999997,12.952,13.141,-24.047,4.324,69.237,1953.125,66.8,78.0,75.261,3100.995,25.6,128.6702,0.0,1.2182
1051.2551999999996,13.685,13.141,-23.313,5.691,69.05,1914.063,74.0,66.0,74.836,3100.995,25.2,128.3118,0.0,1.2164
1051.4075999999995,13.666,10.563,-22.718,7.838,69.704,1914.063,68.0,150.0,74.664,3100.995,25.6,128.67020000000002,0.0,1.2182
1051.5599999999995,11.509,10.563,-22.575,6.825,69.664,1914.063,74.0,249.0,73.964,3100.995,25.2,128.3532,0.0,1.2164000000000001
1051.7123999999994,1.413,11.391,-22.048,5.903,69.545,1914.063,71.0,276.0,73.103,3100.995,25.4,128.57379999999998,0.0,1.2178
1051.8647999999994,1.407,10.563,-21.34,7.017,69.764,1914.063,65.0,258.0,72.554,3100.995,25.4,128.629,0.0,1.2182000000000002
1052.017199999999,1.854,10.563,-21.206,6.343,69.536,1953.125,71.0,162.0,74.498,3100.995,25.6,128.67020000000002,0.0,1.2182
1052.1695999999993,9.917,12.25,-20.96,6.112,69.527,1914.063,72.0,168.0,74.149,3100.995,25.4,128.5324,0.0,1.2174
1052.3219999999992,11.082,10.563,-20.062,5.491,69.609,2070.313,58.0,129.0,66.604,3100.995,25.6,128.6702,0.0,1.2182
1052.4743999999992,8.724,9.766,-21.544,5.598,69.756,1914.063,66.0,144.0,70.616,3100.995,25.6,128.67020000000002,0.0,1.2182
1052.626799999999,8.226,9.0,-20.802,8.974,69.981,1933.594,61.0,180.0,74.285,3100.995,25.4,128.5324,0.0,1.2174
1052.779199999999,7.125,15.016,-23.322,-10.415,68.899,1940.104,68.0,252.0,74.407,3100.995,25.4,128.5462,0.0,1.2176000000000002
1052.931599999999,6.721,11.391,-22.58,5.549,69.85,1953.125,65.0,132.0,74.34,3100.995,25.6,128.67020000000002,0.0,1.2182
1053.083999999999,6.671,12.25,-21.278,5.232,70.0,1953.125,70.0,63.0,74.27,3100.995,25.4,128.4496,0.0,1.217
1053.2363999999989,6.71,14.063,-21.3,5.267,69.19,1953.125,72.0,177.0,74.256,3100.995,25.6,128.67020000000002,0.0,1.2182
1053.3887999999988,6.782,12.25,-20.685,5.404,69.226,1960.9376,67.0,78.0,74.005,3100.995,25.6,128.6702,0.0,1.2182
1053.5411999999988,6.854,12.25,-20.111,6.536,69.88,1953.125,70.0,93.0,74.128,3100.995,25.6,128.6702,0.0,1.2182
1053.6935999999987,6.929,9.0,3.848,6.735,69.699,1953.125,66.0,51.0,73.907,3100.995,25.4,128.4496,0.0,1.217
1053.8459999999986,7.006,10.563,4.572,6.698,69.43,1953.125,69.0,240.0,73.816,3100.995,25.4,128.5462,0.0,1.2176000000000002
1053.9983999999986,8.429,15.016,4.821,6.883,69.283,1953.125,66.0,273.0,74.312,3100.995,25.4,128.57379999999998,0.0,1.2178
1054.1507999999983,8.718,13.141,4.186,8.463,69.142,1914.063,46.0,381.0,74.195,3100.995,25.8,129.13920000000002,0.0,1.2212
1054.3031999999985,10.015,11.391,4.18,7.656,69.331,1933.594,75.0,357.0,74.221,3100.995,25.8,128.98739999999998,0.0,1.2204000000000002
1054.4555999999984,10.488,9.766,4.123,7.465,69.594,1953.125,93.0,222.0,74.65,3100.995,25.4,128.5462,0.0,1.2176
1054.6079999999984,10.475,10.563,4.348,7.604,69.573,1914.063,57.0,186.0,74.906,3100.995,25.2,128.3118,0.0,1.2162
1054.7603999999983,10.245,12.25,4.411,8.586,69.806,1953.125,61.0,165.0,74.909,3100.995,25.6,128.67020000000002,0.0,1.2182
1054.9127999999982,9.958,12.25,4.768,8.99,69.613,1953.125,48.0,213.0,74.614,3100.995,25.2,128.3532,0.0,1.2164
1055.0651999999982,9.601,11.391,4.509,8.72,69.331,1953.125,93.0,270.0,74.35,3100.995,25.4,128.629,0.0,1.2182000000000002
1055.217599999998,9.211,9.0,3.912,8.329,69.44,1953.125,68.0,168.0,74.175,3100.995,25.6,128.67020000000002,0.0,1.2182
1055.369999999998,8.849,13.141,3.665,8.603,69.972,1933.594,68.0,129.0,73.955,3100.995,25.6,128.67020000000002,0.0,1.2182
1055.522399999998,8.515,7.563,3.523,6.808,70.0,1914.063,66.0,87.0,74.069,3100.995,25.4,128.4496,0.0,1.217
1055.674799999998,8.332,12.25,3.49,6.754,68.922,1914.063,88.0,75.0,73.936,3100.995,25.4,128.4496,0.0,1.217
1055.827199999998,8.222,9.0,3.828,7.375,69.199,1953.125,76.0,186.0,74.117,3100.995,25.6,128.67020000000002,0.0,1.2182
1055.9795999999978,8.115,10.563,4.107,8.229,69.204,1953.125,79.0,105.0,73.946,3100.995,25.6,128.6702,0.0,1.2182
1056.1319999999978,8.011,13.141,1.526,9.029,69.496,1933.594,71.0,186.0,74.159,3100.995,25.4,128.5324,0.0,1.2174
1056.2843999999975,7.909,9.766,1.527,7.924,69.227,1953.125,68.0,210.0,74.106,3100.995,25.4,128.56,0.0,1.2176000000000002
1056.4367999999977,7.916,11.391,1.888,6.814,69.642,1914.063,72.0,225.0,73.895,3100.995,25.2,128.3532,0.0,1.2164000000000001
1056.5891999999976,8.094,12.25,2.243,8.436,69.544,1914.063,73.0,138.0,74.061,3100.995,25.6,128.67020000000002,0.0,1.2182
1056.7415999999976,8.393,9.766,2.282,8.118,70.914,1953.125,67.0,231.0,74.019,3100.995,25.4,128.5462,0.0,1.2176
1056.8939999999975,8.799,15.016,2.348,7.756,70.198,1953.125,91.0,126.0,74.008,3100.995,25.6,128.67020000000002,0.0,1.2182
1057.0463999999974,9.252,11.391,2.464,9.15,69.35,1953.125,65.4,339.0,74.52,3100.995,25.8,129.208,0.0,1.2216
1057.1987999999974,9.753,14.063,2.424,9.389,69.35,1914.063,106.0,381.0,74.507,3100.995,25.8,129.1392,0.0,1.2212
1057.351199999997,10.313,8.266,2.66,11.175,70.675,1953.125,71.0,255.6,74.439,3100.995,25.6,128.6702,0.0,1.2182
1057.5035999999973,10.942,10.563,2.807,12.578,69.333,1976.5626,28.0,99.0,74.761,3100.995,25.6,128.6702,0.0,1.2182
1057.6559999999972,11.651,11.391,2.795,10.461,69.0,1914.063,63.0,186.0,74.939,3100.995,25.2,128.3118,0.0,1.2162
1057.8083999999972,12.46,8.266,2.79,11.716,70.25,1953.125,70.2,330.0,74.612,3100.995,25.8,129.208,0.0,1.2216
1057.960799999997,13.09,9.766,2.719,12.471,69.0,1914.063,76.0,381.0,74.744,3100.995,25.8,129.13920000000002,0.0,1.2212
1058.113199999997,13.456,12.25,3.583,11.57,70.062,1914.063,79.0,353.4,74.741,3100.995,25.6,128.6702,0.0,1.2182
1058.265599999997,13.668,16.0,2.799,16.288,69.762,1937.5002,74.0,216.0,74.773,3100.995,25.4,128.5462,0.0,1.2176000000000002
